key,value,color,los,buffer,anchor,water,description
amenity,weighbridge,#d97706,False,False,False,False,A large weight scale to weigh vehicles and goods
barrier,block,#1e293b,False,False,False,False,One or more large immobile block(s) usually barring free access along a way.
barrier,bollard,#1e293b,False,False,False,False,One or more solid (usually concrete or metal) pillar(s) used to control traffic.
barrier,border_control,#1e293b,False,False,False,False,A control point at an international border between two countries.
barrier,bump_gate,#1e293b,False,False,False,False,A drive-through gate used in rural areas to provide a barrier to livestock that does not require the driver to exit the vehicle.
barrier,bus_trap,#1e293b,False,False,False,False,A short section of the roadway where there is a deep dip in the middle to prevent passage by some traffic.
barrier,cable_barrier,#1e293b,False,False,False,False,A road side or median barrier made of steel wire ropes mounted on weak posts.
barrier,cattle_grid,#1e293b,False,False,False,False,A hole in the road surface covered in a series of bars that allow wheeled vehicles but not animals to cross.
barrier,chain,#1e293b,False,False,False,False,A chain used to prevent motorised vehicles.
barrier,city_wall,#1e293b,False,False,False,False,A fortification used to defend settlements in ancient to modern times.
barrier,cycle_barrier,#1e293b,False,False,False,False,A barrier along a path that slows or prevents access for bicycle users.
barrier,debris,#1e293b,False,False,False,False,Debris blocking a road
barrier,ditch,#1e293b,False,False,False,False,A ditch or a trench is a long and narrow man-made barrier dug in the ground to prevent access to the other side.
barrier,entrance,#1e293b,False,False,False,False,An opening or gap in a barrier.
barrier,fence,#1e293b,False,False,False,False,"A freestanding structure designed to restrict or prevent movement across a boundary, generally distinguished from a wall by the lightness of its construction."
barrier,full-height_turnstile,#1e293b,False,False,False,False,A full-height turnstile.
barrier,gate,#1e293b,False,False,False,False,A section in a wall or fence which can be opened to allow access.
barrier,guard_rail,#1e293b,False,False,False,False,"A rail, typically metal, designed to keep vehicles within their roadway and prevent collisions or runaways. Right side faces outward. In iD, the ""poles"" on the left mark the protected side, and the smooth right side goes toward traffic."
barrier,hampshire_gate,#1e293b,False,False,False,False,A section of wire fence which can be removed temporarily.
barrier,handrail,#1e293b,False,False,False,False,A rail designed to be grasped by the hand so as to provide stability or support.
barrier,hedge,#1e293b,False,False,False,False,"A line of closely spaced shrubs and tree species, which form a barrier or mark the boundary of an area."
barrier,height_restrictor,#1e293b,False,False,False,False,A height restrictor which prevents access of vehicles higher than a set limit.
barrier,horse_stile,#1e293b,False,False,False,False,A horse stile allows pedestrians and horses to cross a gap through a fence
barrier,jersey_barrier,#1e293b,False,False,False,False,A barrier made of heavy prefabricated blocks.
barrier,kerb,#1e293b,False,False,False,False,A stone edging to a pavement or raised path.
barrier,kissing_gate,#1e293b,False,False,False,False,A type of gate where you have to go into an enclosure and open a gate to get through.
barrier,lift_gate,#1e293b,False,False,False,False,A bar or pole pivoted (rotates upwards to open) in such a way as to allow the boom to block vehicular access through a controlled point.
barrier,log,#1e293b,False,False,False,False,A log blocking access.
barrier,motorcycle_barrier,#1e293b,False,False,False,False,A barrier along a path preventing access by motorcycles.
barrier,retaining_wall,#1e293b,False,False,False,False,A linear structure that holds back soil or rock. (Lower side to right.)
barrier,rope,#1e293b,False,False,False,False,A flexible barrier made of rope.
barrier,sally_port,#1e293b,False,False,False,False,"A secure, controlled entryway to a fortification or prison."
barrier,spikes,#1e293b,False,False,False,False,Spikes on the ground preventing unauthorized access.
barrier,stile,#1e293b,False,False,False,False,"A structure which provides people a passage through or over a boundary via steps, ladders or narrow gaps."
barrier,sump_buster,#1e293b,False,False,False,False,A barrier to stop cars (two tracked vehicles with less than a certain ground clearance and width between tracks).
barrier,swing_gate,#1e293b,False,False,False,False,A gate consisting of a bar or pole pivoted (rotates sidewards to open) in such a way as to allow the boom to block vehicular access through a controlled point.
barrier,toll_booth,#1e293b,False,False,False,False,A place where a road usage toll or fee is collected.
barrier,turnstile,#1e293b,False,False,False,False,"A turnstile, a passage on foot designed to allow one person at a time to pass"
barrier,wall,#1e293b,False,False,False,False,"A freestanding structure, designed to restrict or prevent movement across a boundary, typically made from solid brick, concrete or rocks, and almost always built so that it is opaque to vision."
barrier,yes,#1e293b,False,False,False,False,"Unspecified barrier. If possible, use a more specific value."
boundary,aboriginal_lands,#be185d,False,False,False,False,A boundary representing official reservation boundaries of recognized aboriginal / indigenous / native peoples.
boundary,administrative,#be185d,True,True,False,False,"An administrative boundary. Subdivisions of areas/territories/jurisdictions recognised by governments or other organisations for administrative purposes. These range from large groups of nation states right down to small administrative districts and suburbs, as indicated by the"
boundary,census,#be185d,True,True,False,False,"A census-designated boundary delineating a statistical area, not necessarily observable on the ground."
boundary,disputed,#be185d,True,True,False,False,An area of landed claimed by two or more parties (use with caution). See also
boundary,forest,#be185d,True,True,False,False,"A delimited forest is a land which is predominantly wooded and which is, for this reason, given defined boundaries. It may cover different tree stands, non-wooded areas, highways… but all the area within the boundaries are considered and managed as a single forest."
boundary,forest_compartment,#be185d,True,True,False,False,"A forest compartment is a numbered sub-division within a delimited forest, physically materialized with visible, typically cleared, boundaries."
boundary,health,#be185d,True,True,False,False,Health division boundaries. Some mappers use
boundary,historic,#be185d,True,True,False,False,A historic administrative boundary (use judiciously).
boundary,limited_traffic_zone,#be185d,True,True,False,False,Describes an officially designated area that requires authorization for the entry of certain vehicles.
boundary,local_authority,#be185d,True,True,False,False,Describes the territory of a local authority.
boundary,low_emission_zone,#be185d,True,True,False,False,A geographically defined area which seeks to restrict or deter access by certain polluting vehicles with the aim of improving the air quality.
boundary,national_park,#be185d,True,True,False,False,"Area of outstanding natural beauty, set aside for conservation and for recreation ("
boundary,place,#be185d,True,True,False,False,boundary
boundary,political,#be185d,True,True,False,False,Electoral boundaries
boundary,postal_code,#be185d,True,True,False,False,Postal code boundaries. Some mappers use
boundary,public_transport,#be185d,True,True,False,False,An operating area of a transit authority.
boundary,special_economic_zone,#be185d,True,True,False,False,A government-defined area in which business and trade laws are different.
boundary,statistical,#be185d,True,True,False,False,An official boundary recognised by government for statistical purposes.
boundary,timezone,#be185d,True,True,False,False,Boundaries of time zone
boundary,*,#be185d,True,True,False,False,All commonly used values
boundary,border_zone,#be185d,False,False,False,False,A border zone is an area near the border where special restrictions on movement apply. Usually a permit is required for visiting.
boundary,hazard,#be185d,False,False,False,False,"A designated hazardous area, with a potential source of damage to health, life, property, or any other interest of value."
boundary,maritime,#be185d,True,True,False,False,"Maritime boundaries which are not administrative boundaries: the Baseline, Contiguous Zone and EEZ (Exclusive Economic Zone)."
